epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1961.54,1.81462,2.47996,1.10992,0.43083,0.30249,0.29159,0.14578,1.60126,1.3528,1.01429,0.00124715,0.000415715,0.00124715,0.000415715,0.00124715,0.000415715,0.00124715,0.000415715
2,3530.17,1.63239,1.29138,1.0348,0.50195,0.35619,0.36377,0.17869,1.52623,1.1514,0.98707,0.00237354,0.000791179,0.00237354,0.000791179,0.00237354,0.000791179,0.00237354,0.000791179
3,5156.85,1.59375,1.17271,1.01497,0.54245,0.37539,0.39405,0.19102,1.52126,1.09764,0.98279,0.00337618,0.00112539,0.00337618,0.00112539,0.00337618,0.00112539,0.00337618,0.00112539
4,6916.54,1.57709,1.10938,1.00921,0.55123,0.40287,0.41562,0.20092,1.50406,1.03182,0.97912,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
5,8440.59,1.5493,1.05684,1.00057,0.55592,0.41193,0.43026,0.2083,1.49028,0.99817,0.975,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
6,9925.44,1.53455,1.01506,0.9944,0.56284,0.41853,0.44072,0.21327,1.47561,0.96133,0.97124,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
7,11396.5,1.51164,0.98148,0.98848,0.57268,0.42565,0.44835,0.21672,1.46344,0.94536,0.96828,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
8,12868.6,1.50801,0.96891,0.9853,0.57956,0.43039,0.45379,0.22068,1.4586,0.92545,0.96718,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
9,14362.9,1.49684,0.94646,0.98178,0.58763,0.43004,0.45821,0.22256,1.45331,0.91722,0.96734,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
10,15852.3,1.49236,0.93565,0.98061,0.60043,0.43793,0.46944,0.22724,1.44417,0.89537,0.9644,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
11,17262.6,1.50555,0.95397,0.98306,0.58875,0.43474,0.46292,0.22402,1.45754,0.90849,0.96682,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
12,18680.1,1.49445,0.92922,0.97907,0.59555,0.43364,0.46499,0.22699,1.44683,0.89896,0.9611,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375,0.00170812,0.000569375
13,20098.6,1.48858,0.91551,0.97754,0.59976,0.4371,0.47015,0.22988,1.4449,0.89063,0.96136,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
14,21512.1,1.47353,0.90003,0.97269,0.60356,0.44114,0.47253,0.23185,1.4435,0.88169,0.96354,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
15,22929.8,1.46881,0.8904,0.97215,0.60935,0.44272,0.47618,0.23322,1.43865,0.87574,0.95908,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
16,24350.2,1.46544,0.88179,0.96918,0.6135,0.44464,0.48017,0.23547,1.43521,0.86701,0.95916,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
17,25773.4,1.45548,0.87116,0.96616,0.61258,0.44688,0.48224,0.23638,1.43235,0.86321,0.95809,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
18,27187.7,1.45805,0.86707,0.9676,0.61614,0.44761,0.48422,0.23802,1.43009,0.85942,0.95718,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
19,28603.7,1.44967,0.86036,0.96473,0.61157,0.45159,0.48662,0.23928,1.42539,0.85456,0.95546,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
20,30027.3,1.44465,0.85438,0.96339,0.62204,0.4522,0.48873,0.23887,1.42403,0.85211,0.95545,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
